sentiment,keyword,RC_2017-01.csv,RC_2017-02.csv,RC_2017-03.csv,RC_2017-04.csv,RC_2017-05.csv,RC_2017-06.csv,RC_2017-07.csv,RC_2017-08.csv,RC_2017-09.csv,RC_2017-10.csv,RC_2017-11.csv,RC_2017-12.csv,RC_2018-01.csv,RC_2018-02.csv,RC_2018-03.csv,RC_2018-04.csv,RC_2018-05.csv,RC_2018-06.csv,RC_2018-07.csv,RC_2018-08.csv
num_comments,twitter,240172.0,198894.0,2872.0,147495.0,174625.0,186266.0,189972.0,191156.0,197072.0,203751.0,207455.0,178266.0,205392.0,181562.0,199800.0,208823.0,238114.0,199661.0,250874.0,264065.0
num_comments,internet,108034.0,116476.0,4302.0,104397.0,126021.0,150588.0,140710.0,113687.0,148716.0,111760.0,206482.0,202376.0,126533.0,121148.0,138959.0,126379.0,157978.0,153588.0,165139.0,172430.0
num_comments,cyber sovereignty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_comments,microtargeting,0.0,0.0,0.0,9.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,17.0,27.0,0.0,0.0,10.0,1.0
num_comments,quantum technology,19.0,0.0,0.0,0.0,0.0,2.0,8.0,1.0,1.0,11.0,1.0,0.0,9.0,1.0,0.0,0.0,1.0,6.0,0.0,1.0
num_comments,facebook data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_comments,global basic income,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0
num_comments,virtual reality,6866.0,3407.0,49.0,4207.0,4229.0,5624.0,2398.0,3928.0,2624.0,4912.0,3716.0,4887.0,2927.0,2190.0,2483.0,5077.0,5139.0,3256.0,3317.0,5151.0
num_comments,financial technology,0.0,11.0,0.0,1.0,59.0,3.0,6.0,7.0,1.0,29.0,237.0,52.0,32.0,12.0,95.0,4.0,28.0,14.0,31.0,2.0
num_comments,personal data,490.0,225.0,0.0,246.0,117.0,2102.0,441.0,1475.0,525.0,671.0,282.0,396.0,819.0,2918.0,2067.0,2836.0,1254.0,1051.0,1087.0,460.0
num_comments,secure communication,16.0,5.0,0.0,224.0,20.0,32.0,24.0,128.0,16.0,11.0,0.0,9.0,54.0,6.0,7.0,6.0,11.0,2.0,12.0,6.0
num_comments,price discrimination,3.0,12.0,1.0,23.0,11.0,3.0,7.0,139.0,8.0,16.0,90.0,152.0,0.0,5.0,72.0,13.0,6.0,23.0,8.0,0.0
num_comments,explainable artificial intelligence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_comments,nanotechnology,24.0,64.0,0.0,89.0,224.0,79.0,446.0,65.0,189.0,108.0,49.0,1680.0,1113.0,73.0,92.0,48.0,261.0,115.0,202.0,127.0
num_comments,smartphone,22652.0,11015.0,254.0,16249.0,14378.0,14158.0,16488.0,17916.0,16311.0,19397.0,18415.0,13819.0,15065.0,16147.0,17517.0,15933.0,17902.0,11906.0,19279.0,23473.0
num_comments,robot ethics,0.0,0.0,0.0,0.0,1.0,0.0,29.0,0.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
num_comments,right to internet access,0.0,0.0,0.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,3.0,0.0
num_comments,usability,764.0,641.0,29.0,352.0,544.0,676.0,540.0,611.0,340.0,424.0,647.0,573.0,598.0,734.0,1210.0,942.0,974.0,979.0,848.0,837.0
num_comments,circular economy,31.0,17.0,1.0,5.0,8.0,9.0,2.0,0.0,3.0,0.0,9.0,13.0,20.0,30.0,14.0,1.0,5.0,2.0,31.0,10.0
num_comments,conspiracy theories,3201.0,7242.0,400.0,5190.0,7454.0,3988.0,4858.0,6461.0,6661.0,15782.0,7077.0,10419.0,7487.0,12755.0,9940.0,6582.0,7980.0,7904.0,6354.0,10959.0
num_comments,gsm,2292.0,2607.0,65.0,7078.0,3249.0,3083.0,10804.0,3999.0,15578.0,6250.0,4336.0,5668.0,5099.0,10088.0,23716.0,4028.0,3427.0,3581.0,3412.0,5942.0
num_comments,anticipatory governance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_comments,machine translation,4.0,60.0,0.0,16.0,23.0,99.0,10.0,35.0,7.0,7.0,39.0,17.0,13.0,4.0,49.0,26.0,38.0,35.0,16.0,37.0
num_comments,copyright,6164.0,7824.0,223.0,6934.0,7806.0,6367.0,5496.0,10968.0,11978.0,9256.0,6242.0,11113.0,9657.0,8587.0,9025.0,9543.0,13538.0,23018.0,25580.0,12189.0
num_comments,cybercrime,218.0,154.0,2.0,53.0,32.0,117.0,133.0,97.0,32.0,82.0,32.0,439.0,153.0,118.0,99.0,107.0,304.0,70.0,248.0,199.0
num_comments,youtube kid,8.0,7.0,0.0,12.0,14.0,0.0,10.0,1.0,3.0,0.0,5.0,2.0,3.0,2.0,3.0,0.0,2.0,0.0,33.0,2.0
num_comments,net neutrality,13436.0,15310.0,472.0,26820.0,66169.0,13479.0,107259.0,19766.0,7926.0,22076.0,344324.0,295427.0,61984.0,23333.0,11830.0,10738.0,62398.0,37434.0,13134.0,17433.0
num_comments,internet backbone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_comments,innovation hub,0.0,5.0,0.0,7.0,7.0,10.0,5.0,1.0,4.0,26.0,18.0,19.0,8.0,3.0,25.0,81.0,38.0,37.0,86.0,35.0
num_comments,dark web,1160.0,1407.0,215.0,535.0,1020.0,1696.0,4847.0,2586.0,1475.0,2053.0,1410.0,1475.0,1968.0,1609.0,1779.0,2839.0,6658.0,4197.0,4352.0,3608.0
num_comments,freedom of speech,1836.0,2977.0,68.0,2428.0,3694.0,2567.0,2741.0,4071.0,4002.0,3215.0,2004.0,1868.0,2650.0,1679.0,6061.0,6468.0,5323.0,3511.0,4122.0,3265.0
num_comments,deep learning,793.0,520.0,22.0,486.0,806.0,995.0,1106.0,2475.0,736.0,1044.0,1064.0,3620.0,788.0,2580.0,1020.0,850.0,1766.0,796.0,1233.0,1027.0
num_comments,e-administration,0.0,0.0,0.0,0.0,0.0,59.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_comments,open spectrum,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_comments,internet universality,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_comments,data center,733.0,994.0,17.0,531.0,3005.0,2478.0,760.0,724.0,480.0,495.0,611.0,1151.0,635.0,408.0,717.0,916.0,1225.0,1293.0,1049.0,750.0
num_comments,network transparency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0
num_comments,misinformation,6189.0,3483.0,35.0,2047.0,3064.0,1420.0,2637.0,1750.0,1882.0,2199.0,3444.0,3594.0,2156.0,2498.0,3535.0,2001.0,3393.0,4673.0,5171.0,3956.0
num_comments,censorship,11316.0,10837.0,177.0,12103.0,12456.0,13883.0,10911.0,15741.0,11194.0,10653.0,10858.0,7530.0,9844.0,9478.0,14362.0,11384.0,14081.0,14828.0,9389.0,20317.0
num_comments,cryptography,1075.0,245.0,4.0,198.0,170.0,268.0,350.0,285.0,540.0,729.0,273.0,483.0,601.0,414.0,360.0,501.0,259.0,377.0,601.0,331.0
num_comments,open standard,1.0,7.0,0.0,38.0,1.0,39.0,72.0,0.0,22.0,5.0,211.0,0.0,34.0,0.0,62.0,15.0,80.0,22.0,2.0,0.0
num_comments,speech recognition,78.0,86.0,0.0,32.0,708.0,34.0,91.0,148.0,328.0,90.0,173.0,96.0,40.0,43.0,103.0,285.0,40.0,99.0,79.0,72.0
